"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","dual_distance","dual_intensity","dual_return_matching"
4.902893543243408,21.95228004455566,-1.178815126419067,4.902893324294273,21.95228024742508,-1.178815078416067,47.0,12.0,1259.0,22.524,61648415.0,61648415.0,-3.0,0.0,0.0,-1.0
4.804531097412109,21.49423599243164,5.084793567657471,4.804530929072442,21.49423579166297,5.084793632388724,27.0,13.0,1260.0,22.604,61648417.0,61648417.0,13.0,0.0,0.0,-1.0
6.634345054626465,29.63176345825195,-0.5300295948982239,6.634345060920534,29.63176394096805,-0.5300295835003003,24.0,14.0,1262.0,30.37,61648419.0,61648419.0,-1.0,0.0,0.0,-1.0
4.780303955078125,21.31593894958496,5.853451728820801,4.780304169200894,21.31593894966043,5.853451524038609,29.0,15.0,1264.0,22.616,61648422.0,61648422.0,15.0,0.0,0.0,-1.0
2.11482834815979,9.315977096557617,-2.559720277786255,2.114828307993843,9.315977293148574,-2.55972035606393,16.0,0.0,1279.0,9.89,61648442.0,61648442.0,-15.0,0.0,0.0,-1.0
6.711453914642334,29.54057502746582,0.5287730097770691,6.711454038209204,29.54057527870185,0.5287730102368159,11.0,1.0,1280.0,30.298,61648445.0,61648445.0,1.0,1.0,1.0,536.0
3.03504204750061,13.33723640441895,-3.157862901687622,3.03504196267502,13.33723607739072,-3.157862900879177,4.0,2.0,1282.0,14.038,61648447.0,61648447.0,-13.0,0.0,0.0,-1.0
4.887474060058594,21.46028137207031,1.153484463691711,4.887474249606145,21.46028119629375,1.153484475594482,9.0,3.0,1283.0,22.04,61648449.0,61648449.0,3.0,0.0,0.0,-1.0
3.434067964553833,15.05428600311279,-3.001425504684448,3.434068024601296,15.05428582785415,-3.00142549727305,5.0,4.0,1285.0,15.73,61648452.0,61648452.0,-11.0,0.0,0.0,-1.0
3.955052375793457,17.29640769958496,-2.810188770294189,3.955052259892744,17.29640705243131,-2.810188729982707,10.0,6.0,1288.0,17.964,61648456.0,61648456.0,-9.0,0.0,0.0,-1.0
5.016264915466309,21.90216255187988,2.758878231048584,5.016264852756361,21.90216249658022,2.758878196005729,59.0,7.0,1290.0,22.638,61648459.0,61648459.0,7.0,0.0,0.0,-1.0
4.105145454406738,17.89529991149902,-2.254339218139648,4.105145520530129,17.89529936639705,-2.254339114308418,4.0,8.0,1292.0,18.498,61648461.0,61648461.0,-7.0,0.0,0.0,-1.0
4.960249900817871,21.6055965423584,3.511015176773071,4.960249831574212,21.60559719937554,3.511015133362942,27.0,9.0,1293.0,22.444,61648463.0,61648463.0,9.0,0.0,0.0,-1.0
4.976195812225342,21.64041328430176,-1.942701458930969,4.976195686530526,21.64041328968884,-1.942701505845301,7.0,10.0,1295.0,22.29,61648466.0,61648466.0,-5.0,0.0,0.0,-1.0
5.020148277282715,21.79671478271484,4.347773551940918,5.020148496078357,21.79671462248294,4.34777376864995,71.0,11.0,1297.0,22.786,61648468.0,61648468.0,11.0,0.0,0.0,-1.0
5.059829235076904,21.95148468017578,-1.180594444274902,5.059829326851126,21.9514848656649,-1.180594500928327,49.0,12.0,1298.0,22.558,61648470.0,61648470.0,-3.0,0.0,0.0,-1.0
4.963676452636719,21.50004577636719,5.094241619110107,4.963676495092724,21.50004498624547,5.094241576671167,27.0,13.0,1300.0,22.646,61648472.0,61648472.0,13.0,0.0,0.0,-1.0
4.93181848526001,21.31113815307617,5.861216068267822,4.93181866584964,21.31113855546668,5.861216095391685,23.0,15.0,1303.0,22.646,61648477.0,61648477.0,15.0,0.0,0.0,-1.0
4.940222263336182,21.74446868896484,0.389223575592041,4.940222059546559,21.7444686073539,0.3892235683642969,5.0,1.0,1280.0,22.302,61648445.0,61648445.0,1.0,-1.0,-1.0,523.0
6.153116226196289,26.60969352722168,-0.4767299294471741,6.153116032994578,26.609692738818,-0.4767299342408364,8.0,14.0,1302.0,27.316,61648475.0,61648475.0,-1.0,0.0,0.0,-1.0
2.180254936218262,9.30286693572998,-2.560237884521484,2.180254845268936,9.30286698942702,-2.560237994154135,8.0,0.0,1319.0,9.892,61648498.0,61648498.0,-15.0,0.0,0.0,-1.0
6.937291622161865,29.55409049987793,0.5298899412155151,6.93729142746652,29.55409021229021,0.529889964248802,5.0,1.0,1321.0,30.362,61648500.0,61648500.0,1.0,1.0,1.0,569.0
3.126741647720337,13.31003093719482,-3.156513214111328,3.126741741325734,13.31003134991287,-3.156513194553114,3.0,2.0,1322.0,14.032,61648502.0,61648502.0,-13.0,0.0,0.0,-1.0
5.056009769439697,21.48891639709473,1.156938672065735,5.056009653927552,21.48891563905728,1.156938648706516,11.0,3.0,1324.0,22.106,61648505.0,61648505.0,3.0,0.0,0.0,-1.0
3.539904117584229,15.02168369293213,-2.999898910522461,3.539904144302923,15.02168327741904,-2.999899025310037,5.0,4.0,1326.0,15.722,61648507.0,61648507.0,-11.0,0.0,0.0,-1.0
4.902613639831543,20.78812789916992,1.868619084358215,4.902613637168116,20.78812743111244,1.868619124509791,9.0,5.0,1327.0,21.44,61648509.0,61648509.0,5.0,0.0,0.0,-1.0
4.07327127456665,17.24459266662598,-2.806434392929077,4.073271243401183,17.24459300423256,-2.806434302821742,10.0,6.0,1329.0,17.94,61648512.0,61648512.0,-9.0,0.0,0.0,-1.0
