Points_m_XYZ:0	Points_m_XYZ:1	Points_m_XYZ:2	X	Y	Z	intensity	laser_id	azimuth	distance_m	adjustedtime	timestamp	vertical_angle	dual_distance	dual_intensity	dual_return_matching
0.519911289	21.42653084	3.39462781	0.519911265	21.42653014	3.394627891	29	9	139	21.7	61646860	61646860	9	0	0	-1
0.527625322	21.58906174	-1.889362216	0.527625315	21.58906219	-1.889362191	7	10	140	21.678	61646862	61646862	-5	0	0	-1
0.530011356	21.3811245	4.157346249	0.53001138	21.38112492	4.157346391	23	11	142	21.788	61646864	61646864	11	0	0	-1
0.221193105	8.79914093	-0.461289108	0.221193108	8.799140978	-0.461289118	13	12	144	8.814	61646867	61646867	-3	0	0	-1
0.540065408	21.33576775	4.92732811	0.540065425	21.33576774	4.927327894	25	13	145	21.904	61646869	61646869	13	0	0	-1
0.551210284	21.47965622	-0.375052214	0.551210296	21.47965556	-0.375052214	15	14	147	21.49	61646871	61646871	-1	0	0	-1
0.553416133	21.27601242	5.702818871	0.553416123	21.27601335	5.70281884	32	15	149	22.034	61646874	61646874	15	0	0	-1
0.263671398	9.209226608	-2.468616009	0.263671389	9.209226688	-2.468616052	19	0	164	9.538	61646894	61646894	-15	0	0	-1
0.618284762	21.46382523	0.374807894	0.618284739	21.46382582	0.374807881	7	1	165	21.476	61646897	61646897	1	1	-1	65
0.404642165	13.87887573	-3.205552578	0.404642171	13.87887595	-3.205552524	6	2	167	14.25	61646899	61646899	-13	0	0	-1
0.631625295	21.53517342	1.129095912	0.631625271	21.53517281	1.12909592	2	3	168	21.574	61646901	61646901	3	1	-1	66
0.465880811	15.69715977	-3.052562237	0.465880824	15.69715969	-3.052562308	6	4	170	15.998	61646904	61646904	-11	0	0	-1
0.646817088	21.53997421	1.885352969	0.646817086	21.53997436	1.885353027	28	5	172	21.632	61646906	61646906	5	0	0	-1
0.540897131	17.90850067	-2.837721109	0.540897144	17.9084999	-2.837721196	6	6	173	18.14	61646908	61646908	-9	0	0	-1
0.657079339	21.50638008	2.641883612	0.657079338	21.50638002	2.641883626	25	7	175	21.678	61646910	61646910	7	0	0	-1
0.551400125	17.84341812	-2.191941977	0.551400116	17.84341739	-2.19194201	8	8	177	17.986	61646913	61646913	-7	0	0	-1
0.666357458	21.44223976	3.397756577	0.666357447	21.44223911	3.397756581	25	9	178	21.72	61646915	61646915	9	0	0	-1
0.677955806	21.57290459	-1.888316274	0.677955825	21.57290415	-1.888316322	7	10	180	21.666	61646917	61646917	-5	0	0	-1
0.681073904	21.43380928	4.168413162	0.681073879	21.43380939	4.168413313	25	11	182	21.846	61646920	61646920	11	0	0	-1
0.69126761	21.40159607	4.943524361	0.691267613	21.40159555	4.94352437	25	13	185	21.976	61646924	61646924	13	0	0	-1
0.701217175	21.47728348	-0.375087112	0.701217184	21.47728261	-0.375087119	17	14	187	21.492	61646927	61646927	-1	0	0	-1
0.698286772	21.27368355	5.703336716	0.69828679	21.27368432	5.703336478	26	15	188	22.036	61646929	61646929	15	0	0	-1
0.222177669	10.02185631	-2.314296484	0.222177673	10.02185677	-2.314296447	1	2	127	10.288	61646844	61646844	-13	-1	-1	34
0.205620304	9.131151199	0.478664666	0.2056203	9.131150883	0.478664656	4	3	129	9.146	61646846	61646846	3	-1	-1	35
0.231583282	8.039440155	0.140387163	0.231583276	8.03944007	0.140387157	9	1	165	8.044	61646897	61646897	1	-1	1	49
0.265426666	9.049683571	0.474477768	0.265426657	9.049683725	0.474477779	6	3	168	9.066	61646901	61646901	3	-1	1	51
0.274894655	8.603796005	-0.451135933	0.27489465	8.603796214	-0.451135943	3	12	183	8.62	61646922	61646922	-3	0	0	-1
0.376232445	10.56246185	-2.83199811	0.376232459	10.56246186	-2.831997992	12	0	204	10.942	61646950	61646950	-15	0	0	-1
0.501524329	13.87571239	-3.205552578	0.501524356	13.87571282	-3.205552524	6	2	207	14.25	61646954	61646954	-13	0	0	-1
0.784326315	21.49217987	1.127107143	0.784326315	21.49217899	1.127107154	11	3	209	21.536	61646957	61646957	3	0	0	-1
0.577905297	15.68557644	-3.051035881	0.577905323	15.68557636	-3.051035836	6	4	211	15.99	61646959	61646959	-11	0	0	-1
0.802263021	21.67231369	1.897380471	0.802263035	21.67231462	1.89738052	34	5	212	21.77	61646961	61646961	5	0	0	-1
0.668885231	17.90022278	-2.837095499	0.668885213	17.90022285	-2.837095458	6	6	214	18.136	61646963	61646963	-9	0	0	-1
0.815297127	21.61618042	2.656020403	0.815297102	21.61618102	2.65602047	30	7	216	21.794	61646966	61646966	7	0	0	-1
0.676106572	17.84309959	-2.192429543	0.67610655	17.84310043	-2.192429488	6	8	217	17.99	61646968	61646968	-7	0	0	-1
0.826117337	21.6027317	3.424037457	0.826117335	21.60273225	3.424037571	30	9	219	21.888	61646970	61646970	9	0	0	-1
0.829157233	21.58357239	-1.889710784	0.829157231	21.58357281	-1.889710814	7	10	220	21.682	61646973	61646973	-5	0	0	-1
0.83723259	21.59724617	4.201232433	0.837232569	21.59724546	4.20123246	43	11	222	22.018	61646975	61646975	11	0	0	-1
0.844024777	21.57786369	-1.131712675	0.844024759	21.57786423	-1.131712718	9	12	224	21.624	61646977	61646977	-3	0	0	-1
0.843721151	21.47413826	4.961520672	0.843721164	21.47413759	4.961520455	25	13	225	22.056	61646980	61646980	13	0	0	-1
0.850884855	21.27779388	5.705924511	0.850884864	21.2777944	5.705924668	26	15	229	22.046	61646984	61646984	15	0	0	-1
0.926112533	21.64489555	0.378158748	0.926112555	21.64489629	0.378158743	2	1	245	21.668	61647007	61647007	1	0	0	-1
0.597542286	13.85240364	-3.201053619	0.597542262	13.85240411	-3.201053503	6	2	247	14.23	61647009	61647009	-13	0	0	-1
0.926710606	21.39654922	1.122396946	0.926710616	21.39654992	1.122396918	9	3	248	21.446	61647012	61647012	3	1	1	97
0.683974326	15.66558838	-3.047982931	0.683974354	15.66558825	-3.047982892	6	4	250	15.974	61647014	61647014	-11	0	0	-1
0.955295563	21.70599556	1.900866747	0.955295587	21.70599493	1.900866749	29	5	252	21.81	61647016	61647016	5	0	0	-1
0.791409314	17.91104317	-2.839598417	0.791409313	17.91104286	-2.839598409	6	6	253	18.152	61647019	61647019	-9	0	0	-1
1.237616181	27.78955269	3.415510178	1.237616221	27.78955329	3.415510218	15	7	255	28.026	61647021	61647021	7	0	0	-1
0.800835431	17.84191132	-2.19291687	0.800835425	17.84191172	-2.192916965	6	8	257	17.994	61647023	61647023	-7	0	0	-1
1.326333046	29.43485069	4.666752815	1.326333059	29.43485148	4.666752961	43	9	258	29.832	61647026	61647026	9	0	0	-1
0.97999835	21.5812397	-1.890059471	0.979998326	21.58123895	-1.890059437	7	10	260	21.686	61647028	61647028	-5	0	0	-1
1.014731765	22.17531204	4.314954758	1.014731775	22.17531245	4.314954621	15	11	262	22.614	61647030	61647030	11	0	0	-1
1.005726695	21.89483452	-1.1486696	1.005726637	21.89483446	-1.148669568	35	12	263	21.948	61647033	61647033	-3	0	0	-1
0.995329022	21.50471115	4.970068455	0.995329038	21.50471051	4.970068595	26	13	265	22.094	61647035	61647035	13	0	0	-1
1.021139503	21.89686394	-0.382626563	1.0211395	21.89686386	-0.382626559	31	14	267	21.924	61647037	61647037	-1	1	1	98
0.996149004	21.28115845	5.708512783	0.996149031	21.28115843	5.708512859	27	15	268	22.056	61647039	61647039	15	0	0	-1
0.361160457	8.338727951	0.437423915	0.361160465	8.338728166	0.437423922	0	3	248	8.358	61647012	61647012	3	-1	-1	84
0.449088991	9.630065918	-0.168276101	0.449088992	9.630065744	-0.168276103	1	14	267	9.642	61647037	61647037	-1	-1	-1	95
0.478874952	9.653182983	-2.589743376	0.478874963	9.653183106	-2.589743365	35	0	284	10.006	61647060	61647060	-15	0	0	-1
0.694234967	13.84789467	-3.201053619	0.69423494	13.84789494	-3.201053503	6	2	287	14.23	61647065	61647065	-13	0	0	-1
1.079896808	21.39136505	1.122501612	1.079896782	21.39136548	1.122501589	9	3	289	21.448	61647067	61647067	3	0	0	-1
0.7950598	15.64068604	-3.044166803	0.795059794	15.64068557	-3.044166712	5	4	291	15.954	61647069	61647069	-11	0	0	-1
1.107416511	21.71073532	1.90191257	1.10741648	21.71073562	1.901912618	29	5	292	21.822	61647072	61647072	5	0	0	-1
0.919759333	17.90886688	-2.840224266	0.919759326	17.90886667	-2.840224147	6	6	294	18.156	61647074	61647074	-9	0	0	-1
1.497022748	28.95161057	3.559559822	1.497022774	28.95160999	3.559559782	8	7	296	29.208	61647076	61647076	7	0	0	-1
